title,authors,date,type,status,url,citation,abstract
Leveraging agrobiodiversity to create sustainable food systems for healthier diets,"Kennedy, G.; Hunter, D.; Garrett, J.; Padulosi, S.",2017,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/89400,"Kennedy, G., Hunter, D., Garrett, J., Padulosi, S. (2017) Leveraging agrobiodiversity to create sustainable food systems for healthier diets. UNSCN News 42 p. 23-31","The current ways that planetary resources are used to produce and consume food are raising significant concerns about the impact on nutrition, health and sustainability. A major reorientation of our food systems is needed in terms of both activities and governance. This paper describes the important contributions agricultural biodiversity makes achieving healthy diets and sustainable food systems and highlights a number of key actions needed to maximize those contributions. Dietary factors are the number one risk factor in the global burden of disease. At the same time, many of the ways in which food systems operate, from production to sales and consumption, are causing significant environmental damage, including loss of biodiversity and of the beneficial services that biodiversity in ecosystems provides to humanity. This paper argues that focusing on increasing agricultural biodiversity in landscapes, food systems and diets is an important part of the solution to creating healthier diets from sustainable food systems. For instance, a healthy diet should be based on whole grains, fruit, vegetables, legumes, nuts and seeds, and be limited in added sugar and sodium. Agrobiodiversity can ensure these essential ingredients are present in our food system, and so support healthy diets. In terms of increased sustainability of food systems, agricultural biodiversity can boost yields, provide pollination services and pest and disease control, reduce the need for inorganic fertilizers and synthetic pesticides, and provide protection to natural habitats. Agrobiodiversity can also contribute to breeding of crops and animals that are more capable of coping with climate change. Good governance is key to achieving positive outcomes from promotion of agrobiodiversity. Food systems arise from complex agronomic, economic, political, institutional and social interrelationships. Good governance must drive the enabling environment that influences multiple actors operating in these systems and the actions they can take that will impact on the sustainability of food systems and the creation of healthy diets. Promoting agricultural biodiversity can be a practical investment for healthier diets through four main avenues: local and more nutritious value chains; public or institutional procurement; increased availability of fruits and vegetables; and appropriate policy incentives and coherence for diversification of production and consumption. We use examples from a number of contexts to illustrate potential actions that other countries may follow."
Conceptualizing sustainable diets in Vietnam: Minimum metrics and potential leverage points,"Mayton, Holly; Beal, Ty; Rubin, Julia; Sánchez, Alejandra; Heller, Martin; Hoey, Lesli; Haan, Stef de; Duong, Thanh Thi; Huynh, Tuyen; Burra, Dharani Dhar; Khoury, Colin K.; Jones, Andrew D.",2020,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/107160,"Mayton, H.; Beal, T.; Rubin, J.; Sanchez, A.; Heller, M.; Hoey, L.; de Haan, S.; Duong, T.T.; Huynh, T.; Burra, D.D.; Khoury, C.K.; Jones, A.D. (2020) Conceptualizing sustainable diets in Vietnam: Minimum metrics and potential leverage points. Food Policy 91:101836 11 p. ISSN: 0306-9192",Other CGIAR Affiliations Agriculture for Nutrition and Health
Reassessing the cost-effectiveness of high-provitamin A bananas to reduce vitamin A deficiency in Uganda,"Kozicka, Marta; Elsey, Julia; Ekesa, Beatrice; Ajambo, Susan; Kikulwe, Enoch Mutebi; Gotor, Elisabetta",2021-03-26,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/113153,"Kozicka, M.; Elsey, J.; Ekesa, B.; Ajambo, S.; Kikulwe, E.; Gotor, E. (2021) Reassessing the cost-effectiveness of high-provitamin A bananas to reduce vitamin A deficiency in Uganda. Frontiers in Sustainable Food Systems 5:649424. ISSN: 2571-581X","There are two high-provitamin A (pVA) banana-based interventions potentially available in Uganda—biofortified genetically modified (GM) banana and fast-tracked banana landraces from outside Uganda that are naturally high in provitamin A (nHpVA). Based on the newest country statistics and using adoption scenarios obtained through focus group discussions and expert interviews, we assess obstacles and opportunities for adoption as well as cost-effectiveness of these interventions. In two alternative scenarios for the GM banana (M9 matooke), we assume 40% and 64% adoption rates, which would result in US$29,374,151 and US$63,259,415 in income saved, respectively. As an alternative, for the symmetrical scenarios, we calculate that if the nHpVA banana (Apantu plantain, native of Ghana) were to be adopted, US$46,100,148 and US$76,364,988 in income would be saved. Taking into account the full cost of R&D, we estimate that the M9 matooke could save one disability-adjusted life year (DALY) at a cost of US$67.37 at best and US$145.09 at worst. We estimate that the Apantu plantain could save one DALY at a cost of US$50.54 at best and US$83.72 at worst. Our DALY analysis estimates that all assessed HpVA banana interventions are extremely cost-effective in all scenarios, following both the World Bank's and the WHO criteria. Nevertheless, successful interventions would require extensive promotion campaigns and shifts in agricultural value chains."
Perceived nutrition benefits and socio-demographic factors affecting consumption of forest foods in eastern and southern Cameroon,"Fungo, R.; Tieguhong, J.C.; Muyonga, John H.; Odjo, S.; Tchingsabe, O.; Tchatat, M.",2018,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/99127,"Fungo, R.; Tieguhong, J.C.; Muyonga, J.H.; Odjo, S.; Tchingsabe, O.; Tchatat, M. (2018) Perceived nutrition benefits and socio-demographic factors affecting consumption of forest foods in eastern and southern Cameroon. African Crop Science Journal 26(2) p. 203-217. ISSN 1021-9730","Other CGIAR Affiliations Roots, Tubers and Bananas"
The potential of neglected and underutilized species for improving diets and nutrition,"Hunter, Danny; Borelli, Teresa; Beltrame, Daniela M.O.; Oliveira, Camila N.S.; Coradin, Lídio; Wasike, Victor W.; Wasilwa, Lusike; Mwai, John; Manjella, Aurillia; Samarasinghe, Gamini W.L.; Madhujith, Terrence; Nadeeshani, Harshani V.H.; Tan, Ayfer; Tuğrul Ay, Saadet; Güzelsoy, Nurcan; Lauridsen, Nina Olsen; Gee, Eliot; Tartanac, Florence",2019-04-25,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/113549,"Hunter, D.; Borelli, T.; Beltrame, D.M.O.; Oliveira, C..S.; Coradin, L.; Wasike, V.W.; Wasilwa, L.; Mwai, J.; Manjella, A.; Samarasinghe, G.W.L.; Madhujith, T.; Nadeeshani, H.V. H.; Tan, A.; Tuğrul Ay, S.; Güzelsoy, N.; Lauridsen, N.; Gee, E.; Tartanac, F. (2019) The potential of neglected and underutilized species for improving diets and nutrition. Planta 250 p. 709–729. ISSN: 0032-0935","The paper highlights the novel and ingenious approaches Brazil, Kenya, Sri Lanka and Turkey used to prioritize a rich diversity of NUS for healthier diets and improved nutrition, and how this knowledge was used to mainstream these plant species into production and consumption systems. The paper concludes with some perspectives on the way forward for NUS and the community working on them in meeting the challenges of malnutrition and environmental sustainability in the 2030 sustainable development context."
"Agrobiodiversity for food security, health and income","Kahane, R.; Hodgkin, T.; Jaenicke, H.; Hoogendoorn, C.; Hermann, M.; Keatinge, J.D.H.; Hughes, J.D.; Padulosi, S.; Looney, N.",2013,Journal Article,Limited Access,https://cgspace.cgiar.org/handle/10568/35529,"Kahane, R.; Hodgkin, T.; Jaenicke, H.; Hoogendoorn, C.; Hermann, M.; Keatinge, J.D.H.; Hughes, J.D.; Padulosi, S.; Looney, N. -2013-Agrobiodiversity for food security, health and income-Agronomy for Sustainable Development 33(4)-p. 671-693","Other CGIAR Affiliations Policies, Institutions, and Markets; Agriculture for Nutrition and Health"
Born to eat wild: an integrated conservation approach to secure wild food plants for food security and nutrition,"Borelli, Teresa; Hunter, Danny; Powell, Bronwen; Ulian, Tiziana; Mattana, Efisio; Termote, Céline; Pawera, Lukas; Beltrame, Daniela M.O.; Penafiel, Daniela; Tan, Ayfer; Taylor, Mary; Engels, Johannes",2020-10,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/109712,"Borelli, T.; Hunter, D.; Powell , B.; Ulian, T.; Mattana, E.; Termote, C.; Pawera, L.; Beltrame, D.; Penafiel, D.; Tan, A.; Taylor, M.; Engels, J. Born to eat wild: an integrated conservation approach to secure wild food plants for food security and nutrition. Plants 9: 1299 37 p. ISSN: 2223-7747","Overlooked in national reports and in conservation programs, wild food plants (WFPs) have been a vital component of food and nutrition security for centuries. Recently, several countries have reported on the widespread and regular consumption of WFPs, particularly by rural and indigenous communities but also in urban contexts. They are reported as critical for livelihood resilience and for providing essential micronutrients to people enduring food shortages or other emergency situations. However, threats derived from changes in land use and climate, overexploitation and urbanization are reducing the availability of these biological resources in the wild and contributing to the loss of traditional knowledge associated with their use. Meanwhile, few policy measures are in place explicitly targeting their conservation and sustainable use. This can be partially attributed to a lack of scientific evidence and awareness among policymakers and relevant stakeholders of the untapped potential of WFPs, accompanied by market and non‐market barriers limiting their use. This paper reviews recent efforts being undertaken in several countries to build evidence of the importance of WFPs, while providing examples of cross‐sectoral cooperation and multi‐stakeholder approaches that are contributing to advance their conservation and sustainable use. An integrated conservation approach is proposed contributing to secure their availability for future generations."
Agriculture for Development 22,"Harding, P",2014,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/45937,"Harding P (eds). Agriculture for Development 22. Midlothian, United Kingdom: Tropical Agriculture Association","Complete issue of Agriculture for Development 22. Articles: Pachauri R. Climate change and agriculture in the Fifth Assessment Report. Beddington J, Warham E. Climate change and sustainable agricultural technologies. Campbell B. Climate change, agriculture and food security: from local action to global agreements. Naess LO. Climate change and agriculture: lessons from political economy perspectives. Sims B. Climate change impacts and mitigation: a review of predictions and reality. Thornton P. Climate change and livestock in developing countries: possibilities for adaptation."
Food for thought: The underutilized potential of tropical tree‐sourced foods for 21st century sustainable food systems,"Jansen, Merel; Guariguata, Manuel R.; Raneri, Jessica E.; Ickowitz, Amy; Chiriboga-Arroyo, Fidel; Quaedvlieg, Julia; Kettle, Christopher J.",2020-12,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/110551,"Jansen, M.; Guariguata, M.R.; Raneri, J.E.; Ickowitz, A.; Chiriboga‐Arroyo, F.; Quaedvlieg, J.; Kettle, C.J. (2020) Food for thought: The underutilized potential of tropical tree‐sourced foods for 21st century sustainable food systems. People and Nature 15 p. ISSN: 2575-8314","The global food system is causing large‐scale environmental degradation and is a major contributor to climate change. Its low diversity and failure to produce enough fruits and vegetables is contributing to a global health crisis. The extraordinary diversity of tropical tree species is increasingly recognized to be vital to planetary health and especially important for supporting climate change mitigation. However, they are poorly integrated into food systems. Tropical tree diversity offers the potential for sustainable production of many foods, providing livelihood benefits and multiple ecosystem services including improved human nutrition. First, we present an overview of these environmental, nutritional and livelihood benefits and show that tree‐sourced foods provide important contributions to critical fruit and micronutrient (vitamin A and C) intake in rural populations based on data from sites in seven countries. Then, we discuss several risks and limitations that must be taken into account when scaling‐up tropical tree‐based food production, including the importance of production system diversity and risks associated with supply to the global markets. We conclude by discussing several interventions addressing technical, financial, political and consumer behaviour barriers, with potential to increase the consumption and production of tropical tree‐sourced foods, to catalyse a transition towards more sustainable global food systems."
An heuristic framework for identifying multiple ways of supporting the conservation and use of traditional crop varieties within the agricultural production system,"Jarvis, Devra I.; Hodgkin, T.; Sthapit, B.R.; Fadda, Carlo; López Noriega, Isabel",2011,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/35777,"Jarvis, D.I.; Hodgkin, T.; Sthapit, B.R.; Fadda, C.: Lopez-Noriega, I. -2011-An heuristic framework for identifying multiple ways of supporting the conservation and use of traditional crop varieties within the agricultural production system-Critical Reviews in Plant Sciences 30(1-2)-p. 125-176","This paper reviews and discusses how studies on (i) on-farm diversity assessment, (ii) access to diversity and information, (iii) extent of use of available materials and information, and (iv) benefits obtained by the farmer or farming community from their use of local crop diversity, are necessary to identify the different ways of supporting farmers and farming communities in the maintenance of traditional varieties and crop genetic diversity within their production systems. Throughout this paper two key themes are emphasized. First, any description or analysis within the four main areas (assessment, access, use and benefit) can, and most probably will, lead to a number of different actions. Second, the decision to implement a particular action, and therefore its success, will depend on farmers and the farming community having the knowledge and leadership capacity to evaluate the benefits that this action will have for them. This in turn emphasizes the importance of activities (whether by local, national and international organizations and agencies) of strengthening local institutions so as to enable farmers to take a greater role in the management of their resources."
Predictable patterns of unsustainable intensification,"Rietveld, Anne M.; Groot, Jeroen C.J.; Burg, Margreet van der",2021-06-24,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/114143,"Rietveld, A.; Groot, J.C.J.; Van der Burg, M. (2021) Predictable patterns of unsustainable intensification. International Journal of Agricultural Sustainability, Online first paper (24 June 2021). ISSN: 1473-5903","To increase understanding of agricultural intensification processes over time and their sustainability, we studied dimensions of sustainability in the context of ongoing expansion of intensive, commercial mono-cropping of banana in Southwestern Uganda. In our approach we considered five dimensions of sustainability: economic, agricultural productivity, environment, social and human. We compared farming systems in 1998 and 2018 and integrated a gender lens. A total of four focus group discussions, two group interviews and fifteen individual interviews (8m / 7f) were conducted, complemented with a discourse analysis of newspaper articles. Results show that although intensification of banana production increased the average income level indicating improvement in the economic dimension, it did not yield sustainable outcomes in the other dimensions. The integrated analysis of five dimensions of sustainability illuminated aspects often neglected in assessment studies or policy-making around agricultural intensification, in particular socio-economic and gender dynamics. We further recognized that the observed local trends are part of a set of patterns that take place throughout the world. We conclude that to advance sustainable development, stakeholders should move away from the current over-emphasis on economic values prioritizing the individual, and that avoiding patterns of unsustainable development requires broadening to environmental and community values."
Agricultural biodiversity in the Tajik Pamirs,"Giuliani, A.; Oudenhoven, F.J.W. van; Mubalieva, S.",2011,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/35796,"Giuliani, A.; Van Oudenhoven, F.; Mubalieva, S. -2011-Agricultural biodiversity in the Tajik Pamirs-Mountain Research and Development doi: 10.1659/MRD-JOURNAL-D-10-00109.1-p. 16-26","This study investigates the role that local fruit varieties can play in achieving the dual objectives of food sovereignty and income generation in the Tajik Pamir Mountains. In this very harsh environment, agriculture is characterized by a great diversity of fruit varieties central to local food culture and household security. Local fruit trees can grow in poor soils on slopes and their resistance to diseases, cold, and ultraviolet light give them marked advantages over introduced varieties. However, the humanitarian crisis following the collapse of the Soviet Union and recent efforts by development organizations to create markets by introducing exotic varieties are negatively affecting agricultural biodiversity (agrobiodiversity) and, potentially, household security. A study was carried out in 3 districts of the Gorno-Badakhshan province to investigate the household consumption and market potential of products derived from local varieties of apple, apricot, and mulberry and how these products could be better exploited to benefit community livelihoods and agrobiodiversity conservation."
Rigorous monitoring is necessary to guide food system transformation in the countdown to the 2030 global goals,"Fanzo, Jessica; Haddad, Lawrence; Schneider, Kate R.; Béné, Christophe; Covic, Namukolo M.; Guarin, Alejandro; Herforth, Anna W.; Herrero, Mario T.; Sumaila, U. Rashid; Aburto, Nancy J.; Amuyunzu-Nyamongo, Mary; Barquera, Simon; Beal, Ty; Bizzotto Molina, Paulina; Brusset, Emery; Cafiero, Carlo; Campeau, Christine; Caron, Patrick; Cattaneo, Andrea; Conforti, Piero; Davis, Claire; DeClerck, Fabrice A.J.; Elouafi, Ismahane; Fabi, Carola; Gephart, Jessica A.; Golden, Christopher D.; Hendriks, Sheryl L.; Huang, Jikun; Laar, Amos; Lal, Rattan; Lidder, Preetmoninder; Loken, Brent; Marshall, Quinn; Masuda, Yuta J.; McLaren, Rebecca; Neufeld, Lynnette M.; Nordhagen, Stella; Remans, Roseline; Resnick, Danielle; Silverberg, Marissa; Torero Cullen, Maximo; Tubiello, Francesco N.; Vivero-Pol, Jose-Luis; Wei, Shijin; Rosero Moncayo, Jose",2021-09-29,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/115262,"Fanzo, J.; Haddad, L.; Schneider, K.R.; Béné, C.; Covic, N.M.; Guarin, A.; Herforth, A.W.; Herrero, M.; Sumaila, U. R.; Aburto, N.J.; Amuyunzu-Nyamongo, M.; Barquera, S.; Beal, T.; Bizzotto Molina, P.; Brusset, E.; Cafiero, C.; Campeau, C.; Caron, P.; Cattaneo, A.; Conforti, P.; Davis, C.; DeClerck, F.A.J.; Elouafi, I.; Fabi, C.; Gephart, J.A.; Golden, C.D.; Hendriks, S.L.; Huang, J.; Laar, A.; Lal, R.; Lidder, P.; Loken, B.; Marshall, Q.; Masuda, Y.J.; McLaren, R.; Neufeld, L.M.; Nordhagen, S.; Remans, R.; Resnick, D.; Silverberg, M.; Torero Cullen, M.; Tubiello, F.N.; Vivero-Pol, J.-L.; Wei, S.; Rosero Moncayo, J. Viewpoint: Rigorous monitoring is necessary to guide food system transformation in the countdown to the 2030 global goals. Food Policy 104: 102163 20 p. ISSN: 0306-9192","Food systems that support healthy diets in sustainable, resilient, just, and equitable ways can engender progress in eradicating poverty and malnutrition; protecting human rights; and restoring natural resources. Food system activities have contributed to great gains for humanity but have also led to significant challenges, including hunger, poor diet quality, inequity, and threats to nature. While it is recognized that food systems are central to multiple global commitments and goals, including the Sustainable Development Goals, current trajectories are not aligned to meet these objectives. As mounting crises further stress food systems, the consequences of inaction are clear. The goal of food system transformation is to generate a future where all people have access to healthy diets, which are produced in sustainable and resilient ways that restore nature and deliver just, equitable livelihoods. A rigorous, science-based monitoring framework can support evidence-based policymaking and the work of those who hold key actors accountable in this transformation process. Monitoring can illustrate current performance, facilitate comparisons across geographies and over time, and track progress. We propose a framework centered around five thematic areas related to (1) diets, nutrition, and health; (2) environment and climate; and (3) livelihoods, poverty, and equity; (4) governance; and (5) resilience and sustainability. We hope to call attention to the need to monitor food systems globally to inform decisions and support accountability for better governance of food systems as part of the transformation process. Transformation is possible in the next decade, but rigorous evidence is needed in the countdown to the 2030 SDG global goals."
More food or better distribution? Reviewing food policy options in developing countries,"Nooghabi, Saeedeh Nazari; Burkart, Stefan; Mahmoudi, Hossein; Taheri, Fatemeh; Damghani, Abdolmajid Mahdavi; Yazdanpanah, Masoud; Hosseininia, Gholamhossein; Azadi, Hossein",2017,Journal Article,Open Access,https://cgspace.cgiar.org/handle/10568/83169,"Nooghabi, Saeedeh Nazari; Burkart, Stefan; Mahmoudi, Hossein; Taheri, Fatemeh; Damghani, Abdolmajid Mahdavi; Yazdanpanah, Masoud; Hosseininia, Gholamhossein; Azadi, Hossein. 2017. More food or better distribution? Reviewing food policy options in developing countries . Food Reviews International 1-15 p.",AGROVOC Keywords food policies; food security; sustainable intensification; undernourishment; política alimentaria; seguridad alimentaria
